word,countAll
LOUDT1,11
CYT,11
ADF1,11
SIMP1,11
FAC,11
CDE4,11
KA120,11
BCNRAMP1,11
RISP,11
CAADIK1,11
EAF,11
GFS9,11
ZMGS5,11
AUTOPOLYPLOID,11
OXS3,11
PSKR1,11
PDK1,11
CDG1,11
VAPAT1,11
BARBAREA,11
APUM24,11
SLIDL6,11
RGAT1,11
DICLOFENAC,11
TCX8,11
IEF,11
DT1,11
ROHITUKINE,10
FORMALDEHYDE,10
AUC,10
REVERSION,10
PEROXISOMAL,10
THETA,10
LINEAR,10
BIMOLECULAR,10
MDSIP1,10
HSR,10
DRD1,10
DMS3,10
LIFECYCLE,10
DIRIGENT,10
TOOLBOX,10
ZONATION,10
FAMA,10
INDIGOTICA,10
PICEA,10
FASHION,10
DIVERGING,10
TREMULA,10
CTR1,10
MS1,10
PACLOBUTRAZOL,10
DRIVEN,10
MDAL4,10
KETO,10
MECHANOTRANSDUCTION,10
ENGINEERED,10
PYRROLINE,10
PAH,10
ANCESTRY,10
HPA,10
FUNCTIONALITIES,10
LIMONIUM,10
CSN1,10
Y1H,10
CAMEKK23,10
EPFL,10
AOX1D,10
RECEPTION,10
MULTIPROTEIN,10
PROMOTOR,10
RAPE,10
POHUASHANENSIS,10
ERA,10
XANTHOPHYLL,10
HETEROZYGOTE,10
EPF,10
FIRE,10
PARTICULARLY,10
POLYETHYLENE,10
GLYCOL,10
TAGATA1,10
SPROUTING,10
SESSILE,10
SUPPLIES,10
PPIASE,10
CATECHIN,10
RGI1,10
SUFFICIENT,10
REOXYGENATION,10
BURKHOLDERIA,10
HYPOCOTYL5,10
HYP,10
EXPENSE,10
COMPLEX/CYCLOSOME,10
ADC,10
PARVULA,10
OSMOLYTE,10
NEXUS,10
CYCLOIDEA,10
PROLIFERATING,10
MACRO,10
NAE,10
BEGOMOVIRUS,10
PATHOLOGY,10
SUBJECT,10
NDB2,10
TWISTING,10
BIRTH,10
IAA17,10
PHYTOTOXIC,10
SOAR1,10
CHANGING,10
PEOPLE,10
BOLLWORM,10
FMO1,10
STELE,10
RHIZOCTONIA,10
SOLANI,10
WHORL,10
A20/AN1,10
IMPORTIN,10
:GFP,10
MONITOR,10
ATSYP81,10
B73,10
PHAGE,10
SPACING,10
ABA2,10
ROSE,10
PICLN,10
GLXI,10
O2,10
MBD6,10
FIVE,10
TITANIUM,10
PULSE,10
TITRATION,10
WESTERN,10
CRL,10
AGING,10
ACS6,10
MANIHOT,10
THIRD,10
MMC,10
IBBBX29,10
INSP6,10
TRIPLET,10
T6P,10
FYVE,10
BROMODOMAIN,10
PRORP,10
TAGGED,10
SOLVENT,10
GALA,10
CVI,10
CDKA,10
SWN,10
DEPOLARIZATION,10
DYW,10
CLAVATA3/EMBRYO,10
FUL,10
MAC5A,10
SEXUAL,10
CTNF,10
PRIORITIZATION,10
INTEGRATED,10
IMMUNOLOCALIZATION,10
SUBCLADE,10
EGL3,10
ZNF,10
QUALITIES,10
IGA,10
SKIN,10
COLOCALIZATION,10
COBALT,10
MALDI,10
OPERON,10
ALLOW,10
IQ67,10
METALLOENZYME,10
CF1,10
GOERINGII,10
SIGN,10
DIGITAL,10
NGATHA,10
PROPENSITY,10
WRKY12,10
C794,10
PGAM,10
LRFR,10
ALKB,10
SWEET13,10
LITURA,10
GINGER,10
©,10
DRP1A,10
PRR9,10
PACE,10
INBRED,10
TAD,10
CES3,10
URIDINE,10
SIKASI,10
REMARKABLY,10
CYCC1,10
GRANDIS,10
XOO,10
SHSP,10
MDM,10
RAB5,10
LRE,10
TRICHOPODA,10
QH,10
ICS1,10
RELAY,10
ΒCA5,10
PLASTIDIAL,10
WIDER,10
TEXTILE,10
TRANSFORM,10
PALE,10
DΔ,10
GAPC,10
DJ,10
SKI,10
ISOTHIOCYANATE,10
HAE,10
INTERCONNECTION,10
ANNUA,10
PAC,10
SERRATE,10
LCMAX1,10
SDR4L,10
CCD,10
SHAPED,10
LATENT,10
TDP,10
IDENTIFIED,10
NUCLEOPLASMIN,10
PATHOSYSTEM,10
ARABINOSYLTRANSFERASE,10
COTYLEDON1,10
STALLING,10
HAK5,10
ANISOTROPY,10
EGFP,10
ATSARK,10
NEET,10
ACTOR,10
LOOSENING,10
RHMYB123,10
QUANTUM,10
HB,10
FEP1,10
NECESSITY,10
CMT,10
L2,10
UNIVERSAL,10
COMPLEXOME,10
LCD,10
PALMITOYLATION,10
NUT,10
CAMTA3,10
COLLAGEN,10
THF,10
SPIKELET,10
ORGANIC,10
EGY3,10
CARBOXYPEPTIDASE,10
SCPL,10
UAP56,10
CONDENSIN,10
HYDROPONIC,10
CANDIDA,10
RAP,10
NOTE,10
SEPTATE,10
BGT,10
DAYTIME,10
MKK,10
PX,10
ALLANTOIN,10
RECALCITRANCE,10
FLOODING,10
AMIDASE,10
OFFER,10
TPB,10
KUF1,10
UNKNOWN,10
MICRONEEDLE,10
CENTURY,10
RLP53,10
SHUTTLE,10
PCHO,10
SPINACH,10
BLUS1,10
MDNUP62,10
METHANOL,10
TGMS,10
R5L1,10
INVENTORY,10
PIEZO,10
AUTOTETRAPLOID,10
CYP71A13,10
OHM,10
POLΘ,10
CNL,10
STATL2,10
DGTCP1,10
ARTEMISININ,10
PCS1,10
ACD11,10
GLTP,10
FTSH6,10
VERTICILLIOIDES,10
ABCG27,10
DITERPENOID,10
P1B,10
INCLINATION,10
COILIN,10
CADRHB1,10
RPT2,10
TESTING,10
RONS,10
BZR,10
SMXL,10
CESA3,10
RIFLA,10
VPC,10
CRITICAL,10
ATTRX,10
RPA2A,10
ANAC089,10
STORE,10
GMMPK6,10
KCS9,10
CER2,10
VERNONIA,10
MTF,10
SHA,10
ABCC2,10
BAM7,10
OXFORD,10
PPARDT,10
REPLICATE,10
OAK,10
PRIMEXINE,10
RPG1,10
PNMYB2,10
FUEL,10
CLE42,10
MER,10
NADP+,10
RUNNER,10
MICRODOMAIN,10
HARBOR,10
ZMSK2,10
AHA1,10
GATTII,10
PRIME,10
TRIPLOID,10
BCL,10
MCIRCRNA,10
RRTF1,10
PMT,10
ZIF1,10
CNR,10
BEE2,10
MTGSTF7,10
BSC,10
PREGNANCY,10
PVSTK1,10
COUMARATE,10
MYB16,10
PERK,10
REAL,10
CONSORTIUM,10
COLOUR,10
M1,10
BRPHMA2,10
KANADI,10
MIEL1,10
HERB,10
MET3,10
PHGAP,10
CLOSING,10
VSR4,10
NTWRKY41A,10
RD19C,10
WITCHES,10
BROOM,10
FLAVOPROTEIN,10
HSFA1A,10
PHOTOCHEMISTRY,10
FAVOR,10
AMMOPIPTANTHUS,10
INSTRUCTION,10
PPLA,10
LOCULE,10
PDI11,10
PUMILIO,10
PYL2,10
PRODUCER,10
GHNTF6,10
CWP,10
ATUNE12,10
CCOAOMT,10
NIP2,10
ZEIN,10
PIP3,10
AHA,10
MIR168,10
POMBE,10
GHMYB36,10
CPTP,10
NSP,10
IT,10
RABA2A,10
ENDOSYMBIONT,10
RAC,10
ATPHB6,10
VDAC3,10
VDAC,10
BOI,10
DEVIATION,10
SMC,10
SCL3,10
PRIMPOL,10
SRFR1,10
OSAKT2,10
RBL10,10
JAZ4,10
GA20OX1,10
Δ13C,10
MHABF,10
CLE14,10
RTP1,10
OGT,10
ERF72,10
SVB,10
CPSRP43,10
ACD,10
EMB1270,10
CDP,10
PALPUB79,10
MIR2119B,10
RPF,10
OSAIR3,10
DET1,10
RSMYB1,10
IDM3,10
PETM,10
EPISODE,10
BLM,10
DSKCBP,10
VNS,10
PTI1,10
LTUGGPPS2,10
GOLS2,10
ATG12,10
TESEP3,10
WRKY47,10
CCR4,10
SS4,10
SAX,10
ISOSPLITTER,10
VVPPR1,10
OSFAH,10
FARNESYLATION,10
BIOCHAR,10
SLNAC7,10
PG45,10
HAT1,10
CP31A,10
UGT73C7,10
CLH1,10
PCM,10
ANCHORENE,10
RCB,10
PULVINUS,10
PPEBB1,10
HDA703,10
FLANK,10
BNAA02,10
MDERF1B,10
MDSAT1,10
ZMNAC48,10
PLAT,10
AAE,10
CPS,10
MCY,9
PITAYA,9
CAJAL,9
CHANCE,9
RSOH,9
ENTEROBACTER,9
PRODUCE,9
CLE2,9
ELF1,9
INTERSPECIFIC,9
DROP,9
HYDROPHOBIC,9
SINA,9
METRIBUZIN,9
U1,9
TEM,9
BRETSCHNEIDERI,9
CONDITIONAL,9
BROAD,9
FLZ,9
BEYOND,9
MODIFIED,9
NEGATIVELY,9
NUCLEOPORIN,9
DIHYDROFLAVONOL,9
AKT1,9
NRT3,9
FACTORIES,9
ALDOLASE,9
LUMINOL,9
XENOBIOTICS,9
WEATHER,9
CUTTING,9
REPRESENT,9
URTICAE,9
ASTERACEAE,9
COP9,9
THRAX2,9
ONLINE,9
HAASR2,9
PERCENT,9
PROXIMAL,9
CITRULLUS,9
EXPLORING,9
CRUCIAL,9
APPROPRIATE,9
EXPECTATION,9
HOLOENZYME,9
KTN1,9
CARBONYLATION,9
NONSENSE,9
PER2R3,9
ATACT,9
GROWING,9
TAABI5,9
ELF6,9
TAGAMYB,9
SEP,9
IRRESPECTIVE,9
DECAPITATION,9
DGS1,9
CANNABIS,9
BRAHMA,9
VTC1,9
ARTHROBACTER,9
MORPH,9
TPXL5,9
MONOUBIQUITINATION,9
EVICTION,9
BRYV,9
RAV,9
‘,9
BALANCING,9
MID,9
BRC1,9
GLY,9
AMERICA,9
HTG,9
CLAW,9
MEGASPORE,9
VARIOVORAX,9
CPT,9
REST,9
STZ,9
CML38,9
HOD,9
MILD,9
PASSIFLORA,9
SOUTH,9
BI,9
KANDELIA,9
OXO,9
QUORUM,9
DISSEMINATION,9
ANTEROGRADE,9
PHELBD29,9
GMVP2,9
AMIDO,9
DUSK,9
ELONGATOR,9
ARMADILLO,9
MEDICINAL,9
PHYTOCHEMICAL,9
ROBERTSII,9
XYLOSE,9
TAWRKY1,9
VABAM1,9
YUC8,9
QQS,9
CLINOROTATION,9
CBM3,9
HIDDEN,9
VIRIDIPLANTAE,9
NEOFUNCTIONALIZATION,9
AUTOPHAGIC,9
RAE1,9
SUCCESSFUL,9
YELLOWING,9
MORC,9
ADAPT,9
NPR3,9
MYB44,9
HDT4,9
SULFATION,9
SHAKER,9
INWARD,9
TOE2,9
SMMYC2,9
TANSHINONE,9
NEGLECTA,9
HIGHER,9
GB,9
LI,9
RHIZOME,9
AMIR,9
RELAXATION,9
SYNCHROTRON,9
MARINE,9
ARF17,9
NLA,9
CPL1,9
COVALENT,9
NADK2,9
CATENATUM,9
COMMITMENT,9
GAUT,9
VARPP13,9
CINNAMYL,9
KNAT4,9
FASCICLIN,9
SMOKE,9
DEDIFFERENTIATION,9
DIMORPHISM,9
ARSENITE,9
MAC,9
T2,9
VENATION,9
RHIZOGENES,9
EUTREMA,9
TRANSDUCE,9
HAP2,9
BYPASS,9
VYUSPA3,9
IBNAC3,9
MREL57,9
INDICES,9
ANNUAL,9
NPA,9
SORF2146,9
TTG1,9
TT8,9
SUAEDA,9
MESOSULFURON,9
DERIVED,9
BOOST,9
MTHSC70,9
PREVENTION,9
CONSIDERING,9
VINE,9
CLEARANCE,9
INTRINSIC,9
REACTIVATION,9
MICROGAMETOGENESIS,9
RNP,9
MBCBF1,9
P5CS1,9
OSSOG1,9
PGI,9
PGI1,9
CPGI,9
FL7,9
ASR3,9
DEAL,9
MH,9
PBS3,9
PIPECOLIC,9
COMPLEMENTARITY,9
PROVISION,9
SPRAY,9
INCIDENCE,9
CANKER,9
IONOTROPIC,9
RSTT8,9
TGA2,9
TURFGRASS,9
DEMR1,9
DICING,9
MACROAUTOPHAGY/AUTOPHAGY,9
FBA,9
SPIRRIG,9
PAPILLA,9
GATED,9
NEURAL,9
DNN,9
TTNTL3A,9
BABY,9
LIGNAN,9
TCP9,9
OSCEN2,9
CRAB,9
RDR,9
OBERON,9
FLOWERING3,9
DIPEPTIDE,9
HAIRPIN,9
FUNGICIDE,9
PAL1,9
MPLHT1,9
DISASSEMBLY,9
ΒCA1,9
WASTE,9
CF,9
SUVH5,9
PRR7,9
ITPK1,9
PUCCINIA,9
G6PD,9
INABILITY,9
PHOSPHATE/PHOSPHATE,9
ANY,9
LYSIN,9
BILOBA,9
PLUGIN,9
RUP2,9
ARTEMISIA,9
TIMBER,9
MSP10,9
PAO,9
PHYTASE,9
NITROBINDIN,9
ABP1,9
TMK,9
Α/Β,9
CUL3,9
MEGABASE,9
PHOTOCYCLE,9
HORTICULTURE,9
PHB,9
TUNNEL,9
THIAMINE,9
GATEWAY,9
SPONTANEUM,9
ARIETINUM,9
EXCESSIVE,9
DECHELATASE,9
CSU6,9
POTENCY,9
LIVER,9
SNOR28,9
PITP7,9
TRV,9
OH,9
MYC3,9
BICAT3,9
MN2+,9
MAN3,9
=,9
PLURIPOTENT,9
CONVERGENT,9
APO,9
BENCHMARK,9
PTL,9
PENETRABILITY,9
PARALLELISM,9
PHYTOCHROMOBILIN,9
PFD,9
SNG1,9
DXS,9
CSMIR396,9
GGP1,9
PROCAMBIUM,9
THICKER,9
OC,9
PYE,9
REDUCTANT,9
HIEROCHUNTICA,9
TGNAP,9
GLUCURONOSYLTRANSFERASE,9
DDC,9
ETR,9
AAH,9
BRASILENSE,9
VVIJMJ,9
INTERSPECIES,9
LDOX,9
PEKINENSIS,9
MUTMAP,9
PGE,9
MUNG,9
ASIA,9
PALISADE,9
MULTICELLULAR,9
ETR1,9
ROAD,9
EXORIBONUCLEASE,9
PHOSPHATIDYLGLYCEROL,9
A9,9
MSO1,9
CADAVERINE,9
FORAGING,9
LHCB1,9
PHOSPHOETHANOLAMINE,9
IDENTIFY,9
NOT,9
NOR,9
COMPRISE,9
SH3P2,9
PIMT1,9
GHFUL2,9
FOR,9
PEROXIN,9
HYDROPHOBICITY,9
MSL,9
THIRTY,9
EUCHROMATIN,9
HIPP,9
PHB3,9
GPAW,9
LFR,9
HYDROXYMELATONIN,9
IBBHLH116,9
TAPE,9
TAGGING,9
MONOGALACTOSYLDIACYLGLYCEROL,9
F2,9
BSK,9
CATEGORY,9
XYLOSYLATION,9
SQUALENE,9
MDZAT17,9
BLOOD,9
LAW,9
BSU1,9
KNAT6,9
MSD2,9
TGA4,9
HYDROXYPHENYLPYRUVATE,9
METALLOTHIONEIN,9
SMXL2,9
IPORÁ,9
CADSIZ1,9
SUCCINATE,9
YODA,9
CLASP,9
KILLER,9
TOM,9
MIDDLE,9
OSGATA6,9
TIP1,9
CLE7,9
PROPHASE,9
DCHSP20,9
VA,9
SPAN,9
LK,9
PEX4,9
INTACT,9
STAIN,9
SNAT6,9
G6PDH,9
ACS2,9
JAH3,9
BEMISIA,9
RADA,9
AO,9
FORMOSANA,9
ALIX,9
ONTOGENY,9
ASSUMPTION,9
RPD3,9
MACROSCOPIC,9
FLA,9
FB,9
AMARANTH,9
GENOTYPIC,9
GENOTYPING,9
ΑΑ,9
COREGULATOR,9
KINOME,9
FKF1,9
IMMOBILIZATION,9
LISEP3,9
MLA,9
YA6,9
DUF1005,9
SYMBIONT,9
SLX1,9
STROMULE,9
INV,9
FOURIER,9
DSEXLA2,9
ATFH5,9
LN,9
BOMBARDMENT,9
BIORESOURCE,9
GIG1,9
LHCP,9
P2K1,9
GLN1,9
SEC15A,9
TAHSFA6B,9
INITIAL,9
SLJIG,9
MIR164,9
ABCG40,9
SAV4,9
NAC056,9
PCA,9
B1L,9
POPP2,9
MED8,9
VAMP714,9
SIEVE,9
CARYOPHYLLENE,9
MYA2,9
STR,9
BIC,9
LSI,9
MPKAN,9
CSRAC1,9
PANICULATA,9
SCGAIL,9
LFCRY1,9
NR,9
GA2OX7,9
HRTCP20,9
COBL9,9
DBR,9
CGMYB4,9
ATUSP17,9
HD1,9
ZAOFENG6,9
BRAA,9
CHARTREUSE,9
ENANTIOSELECTIVITY,9
NSCLC,9
ESMD1,9
NEEDLE,9
EQUIVALENT,9
ISOENZYME,9
HC,9
SIB1,9
BULBLET,9
CAFFEOYL,9
TASADR1,9
VALVE,9
HPCL,9
GHIAA43,9
CASIZ1,9
FLA11,9
DAO1,9
HEADGROUP,9
OMV,9
ORGANIZER,9
CSILAC4,9
BRWAX2,9
SCGST3,9
BADBL1,9
GMTGA13,9
OL,9
UVB,9
FORDII,9
GLUCOSYLATION,9
LARP6,9
GUAR,9
ROP1,9
MF,9
TRAF,9
MLO,9
ZMMIR190,9
BDPMT1,9
UBAC2,9
AGL16,9
BT2,9
CURE,9
CLCOMT1,9
IONOME,9
GMCIPK2,9
MPPHOT,9
MTNPF6,9
CAS12A,9
CYP78A,9
CDDHN4,9
DEK3,9
MTERF,9
MVB,9
PP2,9
CHO,9
JOX,9
GMA,9
CCE,9
MJ2G02,9
MS6,9
UGT74D1,9
UMP1A,9
LPA2,9
CRK,9
MLAD,9
STILBENE,9
CSKN1,9
PIRNA,9
GR2,9
SIBRI1,9
HBI1,9
BLUP,9
ZMCEP1,9
NTAIDP1,9
OSMMS21,9
CSHY2,9
ATUAP1,9
GHNSLTPSA10,9
DEM1,9
MIWRKY53,9
MDBZR1,9
DOTFL1,9
GHTINY2,9
CYP77B1,9
ATSAR1D,9
ANAFP,9
PP2CG1,9
MUSHROOM,9
TALIN,9
MDFLS1,9
BMG10H,9
SHHTL7,9
OSMED25,9
PSEUDOMONAD,9
HEATIN,9
CFICE1,9
GHGSTF2,9
PROGESTERONE,9
CIB1,9
ADAP,9
CSWRKY22,9
PPBO,9
PMAT1,9
APX6,9
SYP32,9
SCNAC23,9
PPCIPK1,9
GEF8,9
RAH1,9
ATSNRK2,9
CRINKLE,8
PEPTIDYL,8
NHX1,8
GHNAC3,8
CONTRASTING,8
NIB,8
IMPRINTING,8
DIANTHUS,8
EXPRESSOR,8
CONSTANT,8
SEX4,8
AMYLOPECTIN,8
DEPOLYMERIZATION,8
A/B,8
QUANTITATION,8
TRIPLICATION,8
INTRINSICALLY,8
ISOMERIZATION,8
MAGNOLIID,8
NUCLEOCYTOPLASMIC,8
SAFFLOWER,8
MS188,8
SNE,8
ALFIN,8
NRT,8
CAFFEINE,8
PERMEASE,8
FAEE,8
LCRBOHD,8
RIGIDITY,8
TRANSCRIPTASE,8
ORP1,8
PHARMACOLOGICAL,8
PEN1,8
ASI1,8
CAGE,8
SID2,8
BLISTER,8
RECYCLE,8
ZMLOX6,8
PLV,8
CASH,8
INT,8
R/FR,8
PRIOR,8
CAAITP1,8
ONCE,8
INTERNATIONAL,8
ENDO,8
ACONITASE,8
PYRONE,8
BACCATA,8
LANATUS,8
HICKORY,8
ORCHIDACEAE,8
OSCA1,8
NATB,8
WARMTH,8
ABNORMAL,8
ACROLEIN,8
ISOCHORISMATE,8
CAF,8
READTHROUGH,8
CANOPY,8
HCAA,8
RELOCATION,8
P5CDH,8
GOLOVINOMYCES,8
CICHORACEARUM,8
BRANCHED1,8
SMG3,8
UBC32,8
LEU,8
PPGATA1,8
LLM,8
APETALA3,8
RECIPROCAL,8
BSA,8
SHOTGUN,8
COMET,8
FBL17,8
SUCCESSION,8
PAGE,8
C18:3,8
DISPLACEMENT,8
BLOTTING,8
REQUIRE,8
HETERODIMERIZATION,8
GROUNDWORK,8
CRPTOX2,8
FAAH,8
CASANARE,8
HIBISCUS,8
ANEUPLOIDY,8
CYTOLOGICAL,8
OPERATE,8
TURGIDUM,8
PETRI,8
GSSNRK1,8
HETERO,8
COORDINATED,8
APX1,8
IMPLIES,8
DEACCLIMATION,8
FUCOSYLATION,8
GRETCHEN,8
HAGEN,8
MCC,8
OFFICINALIS,8
CIRCUMSTANCES,8
YTTRIUM,8
ACTING,8
SUFFICIENCY,8
TRANSGENESIS,8
TRANSLOCASE,8
ATTLP2,8
VASR1,8
AGO2,8
ALA3,8
DIURNAL,8
ENCAPSULATION,8
CRK5,8
PLT2,8
OBLIGATE,8
HID1,8
PKN1,8
MICOL2A,8
MICOL2B,8
MBD5,8
TATA,8
H3K27AC,8
CHEP,8
STRONG,8
SUMO3,8
MALTOSE,8
SULFONATE,8
BATCH,8
PEG6000,8
EIGHT,8
VISUAL,8
DEEPER,8
HETEROZYGOSITY,8
THERMOSENSORY,8
ENZYMATIC,8
KNOWN,8
PHYLOGENOMIC,8
COROLLA,8
C/D,8
PSEUDOURIDYLATION,8
RETRACTION,8
SUN,8
ADOPTION,8
SLOW,8
ROOM,8
HANDFUL,8
FORMED1,8
PRESERVATION,8
RYEGRASS,8
SBCASP,8
BOECHERA,8
SAFFRON,8
GRP7,8
TOC,8
THICKENING,8
COORDINATOR,8
DECARBOXYLATION,8
ROSEA,8
STIMULATED,8
GALACTURONOSYLTRANSFERASE,8
DML2,8
AMP1,8
AUX,8
BDCHS,8
GH1,8
INTEGRATIVE,8
MATHEMATICAL,8
PHOTOSENSORY,8
POSTHARVEST,8
LLNAC014,8
HSFA3,8
NTL,8
XLG,8
DDT,8
PCNA,8
DITHIOTHREITOL,8
YESHANENSIS,8
AUTOEXCISION,8
POLYACRYLAMIDE,8
COMPETE,8
EPIMERASE,8
BETULA,8
C18:2,8
COWPEA,8
MORUS,8
ALDOXIME,8
COUNTRIES,8
CHELATOR,8
DHN,8
GLABRA3,8
PURIFYING,8
NCBI,8
DIALOGUE,8
ERF109,8
CROSSING,8
MORPHOLOGICAL,8
DESTINATION,8
INSENSITIVE4,8
CARE,8
TASTE,8
SESAMUM,8
TTL3,8
NUCLEOSKELETON,8
FLD,8
ELECTROLYTE,8
ESP3,8
IQD21,8
RECONNECTION,8
MENHP,8
MODIFYING,8
CSR,8
XLG1,8
BRIEFLY,8
HALOTROPISM,8
CAJAN,8
XACPNP,8
HFR1,8
TRITICEAE,8
LEMNA,8
BGLU,8
OXPHOS,8
ENDOSOMAL,8
ABOLISHES,8
ZMPRD1,8
PRD3,8
ENOLASE,8
COLORLESS,8
ANABOLISM,8
PROTIST,8
PARAMOUNT,8
FLY,8
CLUSTERED,8
CIS40,8
INTERMEDIA,8
CRUCIFERIN,8
FVEFDM1,8
TAIR,8
DRP2B,8
TPL/TPRS,8
SPECIMEN,8
RGS1,8
GLOBE,8
TPF,8
CKI1,8
CAFT1,8
ARABICA,8
SOLUBILITY,8
ZEITLUPE,8
MAGNAPORTHE,8
ESCAPE,8
DDB1,8
SPIDER,8
CAX1,8
FORMULA,8
TMK1,8
//GITHUB,8
HYPONASTIC,8
LLG,8
GHLAR1,8
ABT1,8
FP,8
SANT,8
PEN2,8
CD2+,8
STATION,8
DNA/RNA,8
CACESA/CSLS,8
LILY,8
VITAL,8
RELATEDNESS,8
OPPP,8
INVASIVE,8
SATURATION,8
REF6,8
GARP,8
PPK,8
DEWAX,8
MYS1,8
MYS2,8
PRICKLE,8
DESTRUCTION,8
SKELETON,8
ATGRXS17,8
PHOSPHOENOLPYRUVATE,8
PPC,8
/B,8
CPHSP70,8
TORC1,8
GCN2,8
PAPAVER,8
SRF3,8
MSP23,8
NTD,8
HEREAFTER,8
SYNCYTIUM,8
SERVICE,8
MRR,8
SIMONII,8
SDF2,8
MIR169,8
TTM,8
MDTCP46,8
DJC78,8
LIKE3,8
PFOA,8
NDX,8
HIRSUTA,8
RVE5,8
GLIOMA,8
GLUCONEOGENESIS,8
BNP,8
SWAP,8
PLANTATION,8
MYCORRHIZA,8
VIRAL,8
HDSTM,8
NPF6,8
NITRATION,8
COPE,8
RPL,8
ALLOPOLYPLOIDIZATION,8
HDA,8
TDSM,8
ANOXIA,8
DOF6,8
TOPP,8
TRITICI,8
XAT,8
RAFT,8
OPR,8
SUPPRESSOR1,8
ABS3,8
HXK,8
MCU,8
SUBTYPE,8
VENUS,8
NPF5,8
RESURRECTION,8
OPTIMAL,8
VIGNA,8
MVA,8
PLANTING,8
REGARDLESS,8
GGCT,8
SEM,8
GALACTOGLUCOMANNAN,8
APYRASE,8
RABL,8
MINIATURE,8
CENTRAL,8
CLAVATA1,8
REHMANNIA,8
GΓ,8
PHYTOENE,8
ROADMAP,8
OP,8
CRYSTALLIZATION,8
NGAL1,8
HURDLE,8
PICKLE,8
PERFORMS,8
ΜMOL,8
MDACT7,8
THYMIDYLATE,8
QUIESCENCE,8
ADPR,8
SDP1,8
CONIDIA,8
SICKLE,8
IMPORTER,8
ASSIMILATE,8
INDETERMINATE,8
PISTILLATA,8
PLECTOSPHAERELLA,8
PLATZ,8
ALPINA,8
COHESIN,8
SLJAZ11,8
PDF1,8
TOP1Α,8
ETFQO,8
DPH1,8
RHAMNOSIDE,8
CBF1,8
MGT1,8
MGT2,8
ABALEON2,8
PALEACEA,8
DICHROISM,8
ATMYB31,8
VELEZENSIS,8
TRIGGERING,8
HRM,8
K165,8
SMEB,8
POLYATAILOR,8
GL1,8
BRUTUS,8
APRICOT,8
ABERRANT,8
AMARANTHUS,8
ASPARAGUS,8
PHOTOPERIODISM,8
AMIRNA,8
CORPUS,8
ABSORBANCE,8
STRAIGHTFORWARD,8
VRFRO8,8
RHD2,8
BOOM,8
WRKY63,8
PID,8
ATAIRP5/GARU,8
IAA29,8
GHPLDΔ,8
TRIPTYCHON,8
DEPHYTYLASE,8
HMA,8
ONCOGENE,8
REVEILLE,8
EVOLUTIONARILY,8
PRESENCE/ABSENCE,8
NTCBP60G,8
CINCINNATA,8
IMMUNOPURIFICATION,8
LLWOX11,8
GBTCP4,8
MAF4,8
ORP,8
FAR1,8
OSMADS56,8
TAAGPS,8
PTOMYB142,8
BUD13,8
MYB52,8
SCOOP12,8
CYTC,8
RECRETOHALOPHYTE,8
EXT,8
POR,8
BCM1,8
MYB103,8
ATSF1,8
FIBRILLIN,8
NILR1,8
ASCOPHYLLUM,8
ECR,8
FCS1,8
AXIL,8
APO2,8
NOPT,8
DEFAULT,8
STORY,8
MDMYB9/11/12,8
PPNAC56,8
TWISTED,8
TWD1,8
ABCC1,8
OXALATE,8
ATACAMA,8
BUDDING,8
SPT16,8
BXL4,8
ADPG,8
RPP1A,8
HIS1,8
HCN,8
CYANOALANINE,8
DISRUPT,8
CIFRI,8
ZNO,8
ASTOOL,8
RST,8
SYNAPTOTAGMIN,8
SQN,8
ARSENATE,8
COMBINE,8
PARASITIC,8
VPS41,8
PL,8
H10,8
FAHAN,8
TABULIFORMIS,8
PPIDD,8
TLR1,8
LE,8
PIP5K3,8
BURDEN,8
PALD,8
HRS1,8
CRISPR/LBCAS12A,8
TAPTST1,8
GBSSI,8
ATHANOGENE,8
MRD1,8
PSK4,8
NBTRXH1,8
SAFEGUARD,8
OSLA1,8
HEALING,8
CAND2,8
PGAP1,8
ERF34,8
FAH1,8
FAH2,8
SEC1A,8
BEAM,8
CAFFEIC,8
TETHER,8
SLSPL,8
IAA13,8
ARF6,8
MADS2,8
DOM,8
ERF97,8
PHTHEIROSPERMUM,8
ENTITIES,8
FDDM1,8
PRD1,8
CYP28,8
BZIP59,8
RL,8
MIND,8
ZMHIPP,8
SCGAI,8
ΔΨ,8
FLV,8
ERF96,8
VHH,8
SLMYB55,8
BUCKTHORN,8
OSSGT1,8
ANT1,8
CCD4,8
CAROTENAL,8
PRL1,8
VENETUM,8
GMRNF1A,8
MPK15,8
ALDH7B4,8
CMHLB,8
VTC2,8
TREHALASE,8
HYPOCOTYL3,8
ATORPK1,8
TIMEKEEPER,8
PEPTIDEATLAS,8
AGL24,8
PCY,8
LOV1,8
CRP,8
FAIL,8
AMDREB1F,8
MDPIF7,8
YXAL,8
RATIOMETRIC,8
HZ,8
CSE,8
CHR19,8
FUM2,8
GUIDELINE,8
WE,8
HANAC,8
SMC6B,8
OSBOR1,8
ZMSNAC13,8
AFA1,8
E2FB,8
MODMER,8
FLAVONE,8
PAGSAG101A,8
TRANSCEPTOR,8
PHEHG,8
ZMSAUR15,8
RCBURP4,8
NINE,8
EGMYB111,8
EGMYB157,8
C1P,8
VAMP721,8
HK,8
FANCM,8
TAFLZ2D,8
MARKOV,8
